Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder capacity of engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number of passenger seats ,Taxable Value (HK$),Year Of Manufacture
Private Car,TOYOTA,PRIUS,Petrol,"1,797",SALOON,Others,-,4,"<= 150,000",2013
Private Car,MERCEDES BENZ,GLC250 COUPE (C253),Petrol,"1,991",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,MAZDA,MAZDA3 GVC 1.5 I-PLUS,Petrol,"1,496",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,MERCEDES BENZ,V260 AVANTGARDE LONG,Petrol,"1,991",STATION WAGGON,Brand New,-,7,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,E200 AVANTGARDE (W213),Petrol,"1,991",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,HONDA,STEPWGN SPADA,Petrol,"1,496",STATION WAGGON,Brand New,-,7,"> 150,000 and <= 300,000",2018
Private Car,B.M.W.,X3 M40IA (G01),Petrol,"2,998",STATION WAGGON,Brand New,-,4,"> 500,000",2018
Private Car,MERCEDES BENZ,MERCEDES-MAYBACH S560 FACELIFT (X222),Petrol,"3,982",SALOON,Brand New,-,4,"> 500,000",2018
Private Car,LANDROVER,RR 5.0 SC LWB AB,Petrol,"4,999",STATION WAGGON,Brand New,-,4,"> 500,000",2017
Private Car,TOYOTA,NOAH,Petrol,"1,987",STATION WAGGON,Brand New,-,7,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,HONDA,CR-V,Petrol,"1,498",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,VOLKSWAGEN,TIGUAN ALLSPACE7 330 TRAIL,Petrol,"1,984",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,AUDI,A5 SPORTBACK 40 TFSI,Petrol,"1,984",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,ESTIMA,Petrol,"2,362",STATION WAGGON,Others,-,6,"<= 150,000",2009
Private Car,VOLKSWAGEN,TIGUAN ALLSPACE7 330 TRAIL,Petrol,"1,984",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,AUDI,A8L 55 TFSI QUATTRO,Petrol,"2,995",SALOON,Brand New,-,4,"> 500,000",2018
Private Car,B.M.W.,120I MANUAL M SPORT EDITION (F20),Petrol,"1,998",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,HONDA,STEPWGN G,Petrol,"1,997",STATION WAGGON,Others,-,7,"<= 150,000",2010
Private Car,LEXUS,HS250H,Petrol,"2,362",SALOON,Others,-,4,"<= 150,000",2013
Private Car,TOYOTA,ESTIMA,Petrol,"2,362",STATION WAGGON,Others,-,6,"> 150,000 and <= 300,000",2012
Private Car,JAGUAR,F-PACE 25T R-SPORT RWD,Petrol,"1,997",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,E200 AVANTGARDE (W213),Petrol,"1,991",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,B.M.W.,X3 XDRIVE30IA M SPORT EDITION (G01),Petrol,"1,998",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,B200 FACELIFT (W246),Petrol,"1,595",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,SUBARU,XV 2.0I-S EYESIGHT AWD CVT,Petrol,"1,995",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,LEXUS,IS300,Petrol,"1,998",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,VELLFIRE,Petrol,"2,493",STATION WAGGON,Others,-,6,"> 150,000 and <= 300,000",2015
Private Car,KIA,SOUL DELUXE,Petrol,"1,591",STATION WAGGON,Brand New,-,4,"<= 150,000",2018
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,JAGUAR,F-PACE 25T PRESTIGE RWD,Petrol,"1,997",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,VELLFIRE,Petrol,"2,362",Station Waggon(WA),Others,-,6,"> 150,000 and <= 300,000",2012
Private Car,TOYOTA,VELLFIRE,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,B.M.W.,520IA SALOON (G30),Petrol,"1,998",SALOON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,TOYOTA,NOAH,Petrol,"1,987",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
Private Car,HONDA,FIT RS,Petrol,"1,496",STATION WAGGON,Others,-,4,"<= 150,000",2011
Private Car,MAZDA,MAZDA3 GVC 2.0 I-PLUS,Petrol,"1,998",SALOON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,AUDI,A3 SPORTBACK 35 TFSI,Petrol,"1,395",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,VELLFIRE ZAG,Petrol,"3,456",STATION WAGGON,Others,-,6,"> 300,000 and <= 500,000",2016
Private Car,TOYOTA,ALPHARD,Petrol,"3,456",STATION WAGGON,Brand New,-,6,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,GLC250 (X253),Petrol,"1,991",STATION WAGGON,Brand New,-,4,"> 300,000 and <= 500,000",2018
Private Car,MERCEDES BENZ,S320 FACELIFT (V222),Petrol,"2,996",SALOON,Brand New,-,4,"> 500,000",2018
Private Car,B.M.W.,X1 SDRIVE18IA (F48),Petrol,"1,499",STATION WAGGON,Brand New,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,SPADE,Petrol,"1,496",SALOON,Others,-,4,"<= 150,000",2012
Private Car,BENTLEY,CONTINENTAL GT,Petrol,"5,950",SALOON,Brand New,-,3,"> 500,000",2018
Private Car,TOYOTA,VOXY ZS,Petrol,"1,986",STATION WAGGON,Others,-,6,"<= 150,000",2012
Private Car,TOYOTA,VOXY,Petrol,"1,986",STATION WAGGON,Others,-,6,"<= 150,000",2011
Private Car,TOYOTA,SPRINTER TRUENO,Petrol,"1,587",SALOON,Others,-,4,"<= 150,000",1987
Private Car,TOYOTA,VOXY HYBRID,Petrol,"1,797",STATION WAGGON,Others,-,6,"> 150,000 and <= 300,000",2014
Private Car,TOYOTA,VELLFIRE,Petrol,"3,456",STATION WAGGON,Others,-,6,"> 150,000 and <= 300,000",2009
Private Car,KIA,SORENTO PE 2.4 GDI GT AWD,Petrol,"2,359",STATION WAGGON,Brand New,-,6,"> 150,000 and <= 300,000",2018
